ID,CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
C0443,Introduction,2016-09-20 00:00:00,soir,38,297513.509999,5042516.077,45.5225247207,-73.5932741397
C0444,Introduction,2016-09-22 00:00:00,nuit,22,300898.363006,5043297.59399,45.5295842778,-73.5499509853
C0445,Introduction,2016-09-22 00:00:00,jour,44,297429.184006,5045710.885,45.551271881,-73.5944016835
C0446,Introduction,2016-09-25 00:00:00,soir,23,301567.396003,5044799.708,45.5431042875,-73.5413955614
C0447,Introduction,2016-09-30 00:00:00,soir,38,297513.509999,5042516.077,45.5225247207,-73.5932741397
C0448,Introduction,2016-06-18 00:00:00,soir,11,294886.863,5035869.744,45.4626857906,-73.6267634568
C0449,Introduction,2016-06-26 00:00:00,soir,22,300929.097,5042941.094,45.5263765241,-73.5495546945
C0450,Introduction,2016-06-30 00:00:00,jour,10,287294.883002,5043277.72399,45.5291965658,-73.7241089758
C0451,Introduction,2016-06-30 00:00:00,jour,3,277446.469,5039719.00001,45.4968573526,-73.8499926466
C0452,Introduction,2016-07-04 00:00:00,nuit,49,304122.335006,5062496.46301,45.702351121,-73.5087025368
C0453,Introduction,2016-07-05 00:00:00,nuit,26,294914.203008,5040126.697,45.500992122,-73.6264995443
C0454,Introduction,2016-07-18 00:00:00,jour,30,297479.999007,5046628.88899,45.5595329247,-73.5937646081
C0455,Introduction,2016-07-24 00:00:00,nuit,35,295747.307993,5043653.07499,45.5327351543,-73.6159042065
C0456,Introduction,2016-08-03 00:00:00,soir,35,298017.788,5045104.49301,45.5458213358,-73.5868547462
C0457,Introduction,2016-08-02 00:00:00,jour,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0458,Introduction,2016-08-09 00:00:00,jour,44,0,0,1,1
C0459,Introduction,2016-08-16 00:00:00,nuit,16,300978.930008,5035790.377,45.4620314943,-73.5488610652
C0460,Introduction,2016-08-26 00:00:00,nuit,22,301197.600003,5042764.593,45.5247897384,-73.5461160645
C0461,Introduction,2016-09-01 00:00:00,soir,44,299240.086001,5046664.64201,45.5598709229,-73.5712194277
C0462,Introduction,2016-09-20 00:00:00,nuit,9,293296.941997,5036941.194,45.4723028156,-73.6471194618
C0463,Introduction,2016-09-26 00:00:00,jour,5,283250.281,5037719.5,45.4790685422,-73.7756451893
C0464,Introduction,2016-09-26 00:00:00,jour,5,283250.281,5037719.5,45.4790685422,-73.7756451893
C0465,Introduction,2016-07-02 00:00:00,nuit,5,279685.969008,5036356,45.4666801964,-73.82116639
C0466,Introduction,2016-06-26 00:00:00,soir,13,296360.031006,5031166.5,45.4203829469,-73.6078448129
C0467,Introduction,2016-07-10 00:00:00,jour,27,292401.486,5047220.034,45.564780309,-73.6588319527
C0468,Introduction,2016-07-20 00:00:00,jour,49,304991.192992,5055925.629,45.6432259992,-73.4975472941
C0469,Introduction,2016-07-20 00:00:00,soir,48,303968.870002,5051076.02,45.5995875685,-73.5106538248
C0470,Introduction,2016-07-24 00:00:00,soir,23,301857.138994,5044675.172,45.5419849513,-73.5376844693
C0471,Introduction,2016-07-26 00:00:00,jour,44,297679.378003,5046114.68301,45.5549079957,-73.5912032064
C0472,Introduction,2016-08-01 00:00:00,jour,11,293956.25499,5036385.32901,45.4673114379,-73.6386748744
C0473,Introduction,2016-08-04 00:00:00,jour,48,302640.504004,5051632.096,45.604588435,-73.5276839197
C0474,Introduction,2016-08-12 00:00:00,jour,48,302460.26899,5052107.406,45.608864817,-73.5299967434
C0475,Introduction,2016-08-13 00:00:00,soir,1,274219.155995,5031496.50001,45.4227349384,-73.890774261
C0476,Introduction,2016-08-15 00:00:00,jour,44,299860.01801,5047715.792,45.5693341894,-73.5632890662
C0477,Introduction,2016-08-14 00:00:00,jour,16,300599.76699,5035769.747,45.4618436786,-73.5537093479
C0478,Introduction,2016-08-19 00:00:00,jour,30,297473.38699,5047537.42001,45.5677081101,-73.5938629168
C0479,Introduction,2016-08-21 00:00:00,jour,16,298897.624991,5036153.00001,45.4652800672,-73.5754796157
C0480,Introduction,2016-09-02 00:00:00,soir,24,292655.188,5040651,45.5056743398,-73.6554189866
C0481,Introduction,2016-09-04 00:00:00,nuit,50,298627.461293,5039531.1724,45.4956760725,-73.5789769258
C0482,Introduction,2016-08-29 00:00:00,nuit,31,297065.925004,5045734.87399,45.5514838027,-73.5990544934
C0483,Introduction,2016-10-01 00:00:00,nuit,11,293705.378991,5036607.52099,45.469306883,-73.6418882002
C0484,Introduction,2016-10-03 00:00:00,jour,23,301036.818,5045854.86,45.5525962569,-73.5481980635
C0485,Introduction,2016-10-13 00:00:00,jour,10,290620.901007,5044515.02099,45.5404057803,-73.681563749
C0486,Introduction,2016-06-29 00:00:00,jour,21,300091.226995,5040865.56999,45.5076949657,-73.5602610316
C0487,Introduction,2016-06-30 00:00:00,soir,20,300191.112009,5039996.14899,45.4998722138,-73.558974574
C0488,Introduction,2016-07-02 00:00:00,jour,11,294223.211006,5034905.511,45.4539994303,-73.6352290896
C0489,Introduction,2016-07-06 00:00:00,soir,1,269166.062993,5029813,45.4073471761,-73.9552210715
C0490,Introduction,2016-07-09 00:00:00,nuit,23,301300.493992,5045721.20001,45.5513949124,-73.5448200006
C0491,Introduction,2016-07-14 00:00:00,nuit,9,293262.062994,5034490.00001,45.4502452533,-73.6475080205
C0492,Introduction,2016-07-18 00:00:00,nuit,45,297436.601007,5055737.09699,45.6414905256,-73.5944579334
C0493,Introduction,2016-07-23 00:00:00,nuit,20,298834.268,5039628.073,45.4965498248,-73.5763320381
C0494,Introduction,2016-07-25 00:00:00,nuit,30,295085.859001,5048015.05099,45.5719767517,-73.6244595125
C0495,Introduction,2016-07-30 00:00:00,jour,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0496,Introduction,2016-07-31 00:00:00,jour,3,279983.063001,5041191.00001,45.5101976684,-73.8176115349
C0497,Introduction,2016-08-04 00:00:00,jour,13,296077.094005,5031070.50001,45.4195156161,-73.6114584382
C0498,Introduction,2016-08-04 00:00:00,soir,16,298809.938,5034816.50001,45.4532528369,-73.5765846738
C0499,Introduction,2016-08-07 00:00:00,jour,16,298875.719005,5035820.50001,45.4622878856,-73.5757557421
C0500,Introduction,2016-08-08 00:00:00,jour,11,294223.211006,5034905.511,45.4539994303,-73.6352290896
C0501,Introduction,2016-08-12 00:00:00,jour,46,301068.700002,5051292.84201,45.6015290763,-73.5478312512
C0502,Introduction,2016-08-16 00:00:00,jour,44,299027.643997,5046761.697,45.560742527,-73.5739418357
C0503,Introduction,2016-08-18 00:00:00,nuit,22,301197.600003,5042764.593,45.5247897384,-73.5461160645
C0504,Introduction,2016-08-22 00:00:00,soir,3,277823.155993,5040255.5,45.5016995913,-73.8452024657
C0505,Introduction,2016-08-27 00:00:00,jour,13,296176.720995,5034170.925,45.4474160989,-73.6102397438
C0506,Introduction,2016-08-20 00:00:00,jour,23,301857.138994,5044675.172,45.5419849513,-73.5376844693
C0507,Introduction,2016-09-08 00:00:00,jour,38,299228.401007,5044048.80699,45.5363326253,-73.5713393243
C0508,Introduction,2016-09-09 00:00:00,soir,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0509,Introduction,2016-09-09 00:00:00,soir,39,295299.875006,5052429.50001,45.6117021077,-73.6218033969
C0510,Introduction,2016-09-04 00:00:00,soir,10,290313.229008,5043864.05499,45.5345418446,-73.6854842174
C0511,Introduction,2016-09-05 00:00:00,jour,45,297679.262004,5054802.59599,45.633084224,-73.5913314124
C0512,Introduction,2016-09-15 00:00:00,soir,38,299130.230006,5040703.565,45.5062300273,-73.5725576125
C0513,Introduction,2016-07-05 00:00:00,jour,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0514,Introduction,2016-07-09 00:00:00,nuit,11,295906.700992,5036235.20501,45.4659881097,-73.6137289986
C0515,Introduction,2016-07-13 00:00:00,jour,5,279054.587,5035900.977,45.4625627565,-73.8292167426
C0516,Introduction,2016-07-23 00:00:00,jour,38,299576.889992,5043841.598,45.5344707809,-73.5668750288
C0517,Introduction,2016-07-23 00:00:00,soir,22,300582.18799,5044129.10301,45.5370646687,-73.5540059977
C0518,Introduction,2016-08-07 00:00:00,soir,35,297603.787001,5045378.989,45.5482871925,-73.5921605786
C0519,Introduction,2016-08-13 00:00:00,soir,38,298014.971005,5042187.462,45.5195727754,-73.5868504105
C0520,Introduction,2016-08-21 00:00:00,jour,23,301433.859,5045659.63,45.5508415412,-73.5431115022
C0521,Introduction,2016-08-13 00:00:00,jour,3,278152.844001,5040693.49999,45.5056535044,-73.8410075647
C0522,Introduction,2016-09-03 00:00:00,soir,30,0,0,1,1
C0523,Introduction,2016-09-08 00:00:00,soir,39,294715.317376,5052019.92122,45.6080083834,-73.629289665
C0524,Introduction,2016-09-18 00:00:00,jour,23,301567.396003,5044799.708,45.5431042875,-73.5413955614
C0525,Introduction,2016-10-12 00:00:00,jour,39,295772.05501,5052150.14699,45.609194716,-73.6157443054
